,x2,x3,x6,x7,x8,x10,x11,x12,x13,x14,x16,x17,x1_type2,x1_type3,x1_type4,target
2643,3093,200,3.565258915162758,2.0,15.0,0.2517637880996517,59.0,0.9540083103816102,18.0,1.2600897422741721,97.7,1024.0,False,False,False,0
2644,1709,550,0.3652254159072772,1.0,63.0,2.758159539660636,17.0,0.7232775623779346,142.0,2.2010993640488223,130.5,395.0,False,True,False,0
2645,7302,965,1.0,2.0,15.0,3.1145238983740464,2.0,-3.1024954216801985,18.0,2.2033937104759067,69.8,1144.0,False,False,True,0
2646,1361,200,1.5587275305307031,4.0,20.0,0.2230696613376999,-6.552122604071286,0.5056419976838488,65.0,2.782093769218267,137.7,14.0,False,True,False,0
2647,2400,200,1.853671301123594,6.228922751637235,59.0,1.0,5.0,0.7044179495362493,393.0,2.5383338565908344,132.2,87.0,False,True,False,0
2648,8561,200,13.0,22.0,1414.0,14.0,2.0,2.0,443.0,8.12070884775368,141.3,35.0,False,True,False,0
2649,1889,2197,2.0,4.38817811354963,69.0,0.9363811822269232,-13.707581525357561,0.4338388818240008,153.0,2.3638991608242894,130.5,12.0,False,True,False,1
2650,2155,200,2.0,1.0,325.0,2.0,2.0,1.1135055858432392,333.0,3.7179219332483524,155.8,37.0,False,True,False,0
2651,8407,200,1.2694289474569072,21.0,1.3659577043371485,0.552584406254855,3.39029250196109,-0.25857157411858456,14.0,1.4830595241409175,45.6,538.0,True,False,False,0
2652,2607,200,2.0637986190301945,10.52629496168661,9.0,1.441890372716843,3.0,1.3689031653079258,5.0,3.3194425130509364,92.4,1233.0,False,False,False,0
2653,7293,493,-4.796650023167537,7.0,102.0,1.0,2.0,1.1292592673976811,176.0,0.3075788455977855,117.1,1294.0,False,True,False,0
2654,1359,200,1.7131547349639327,1.0,3.0,1.5053618894201026,88.28696889215695,1.032885459641265,5.0,0.3648775582917123,102.1,1256.0,False,False,False,0
2655,2849,649,13.0,156.0,690.0,11.0,1.0,6.0,692.0,6.0448978927968415,152.0,108.0,False,True,False,0
2656,1401,200,1.0,282.0,173.0,2.0,5.496100371888325,3.856595512847592,38.0,-2.6040120628652055,45.3,616.0,True,False,False,1
2657,5514,200,1.5200798818222125,48.0,80.0,1.0,3.0,0.4038361125380294,48.0,1.1245719088787078,51.0,658.0,True,False,False,0
2658,2773,200,3.37168736321615,43.0,9.0,-1.5377293474643565,-10.333335786786813,-0.01869360382151586,5.0,1.545424436545513,65.0,162.0,True,False,False,0
2659,3724,200,2.3462855301517163,2.0,5.0,1.9135605433994254,252.0,0.6149266195753832,5.0,-5.676483006626114,114.6,1387.0,False,False,False,0
2660,2136,1336,1.809148282614684,2.0,19.0,0.3423473701815256,-9.46929613522002,0.34192997546622983,53.0,2.4556675074923473,137.5,8.0,False,True,False,0
2661,6958,558,1.0,61.0,49.0,1.0,65.0,1.5307471355998512,16.0,0.6491321549099585,92.6,706.0,False,False,False,0
2662,1383,583,3.0,18.0,230.0,7.0,1.0,5.0,295.0,3.989880826114324,66.2,1348.0,False,True,False,0
2663,1715,200,-1.571125797679743,176.0,5.0,1.475455886631864,9.773390132310428,2.1092288612022236,5.0,-1.4280018017889464,44.3,708.0,True,False,False,0
2664,1735,935,3.2850305459210105,1.0,77.0,1.0,-10.649874843805321,1.0,146.0,3.271828124568654,132.2,6.0,False,True,False,1
2665,3180,520,1.0,9.0,79.0,1.0,1.0,1.1337261496562663,129.0,0.508259544196608,112.2,1114.0,False,True,False,0
2666,2737,200,2.083030039351204,3.0,106.0,1.510577677905375,4.0,0.693038335109508,107.0,2.7854289049340304,133.2,129.0,False,True,False,0
2667,2117,1317,3.9341110803644517,3.0,7.0,-0.016498676086976083,67.2012547264948,0.777226499634706,9.0,0.3551390596363033,94.1,942.0,False,False,False,0
2668,1768,505,1.0,493.0,41.0,1.0,2.0,1.0,15.0,-9.084902917617823,65.6,1255.0,False,False,True,1
2669,1690,200,-0.4623744510343073,131.0,12.0,1.3720069193696318,8.114053323785573,1.499165109682318,17.0,-0.5628605453330473,44.1,674.0,True,False,False,0
2670,1868,270,2.0,16.0,101.0,1.0,1.0,0.8109263549951555,32.0,2.4701480083907947,132.0,70.0,False,True,False,1
2671,1316,516,3.0,8.0,211.0,2.0,7.0,0.9534858488677933,94.0,2.741382247360164,137.0,133.0,False,True,False,0
2672,3307,200,-3.0104265515873223,252.0,3.0,3.0,10.441912009500804,3.1668376578317017,5.0,-2.1160382212582434,44.5,721.0,True,False,False,0
2673,1377,375,2.0,1.0,72.0,2.0,1.0,0.6125612592699635,94.0,3.2939712238480054,142.1,45.0,False,True,False,0
2674,1699,375,4.0,23.0,241.0,3.0,18.0,2.0,157.0,3.176210655082631,140.6,112.0,False,True,False,0
2675,2751,200,1.0,12.0,84.0,1.0,-1.8539893556720557,0.7355031197856245,108.0,2.968396271314657,147.9,33.0,False,True,False,0
2676,2264,200,0.9030226064126836,1.0,36.0,0.30436772713309423,4.202391522952915,0.48581837414634027,126.0,2.8934092260790494,167.9,23.0,False,True,False,1
2677,2041,200,3.233715812593477,2.0,14.0,1.3689592505538393,232.0,0.6522566636183996,9.0,-4.994887210491372,113.1,1270.0,False,False,False,0
2678,5694,200,4.0,41.0,277.0,3.0,1.0,1.0,203.0,5.097032477608727,298.2,45.0,False,True,False,0
2679,1714,200,2.0,5.0,114.0,2.0,-10.165451590846764,0.7347014098449713,20.0,3.547514662430035,125.4,21.0,False,True,False,0
2680,1353,553,1.0,10.122568444417688,12.0,1.2936631948136412,82.53427212024741,1.1065102549918013,8.0,0.18765231542501892,96.8,1195.0,False,False,False,0
2681,3531,200,1.0,2.0,9.0,1.5110205754616919,259.0,0.5424563062201387,1.0,-6.066824709551074,110.2,1310.0,False,False,False,0
2682,2379,200,-4.795154319959387,116.0,118.0,7.785414571712354,1.0,2.983286489467008,77.0,1.160749157451339,82.9,1222.0,False,True,False,0
2683,12735,200,1.0,3.2721499049284652,73.0,1.255300045217008,-2.3556303457720134,0.43979774711791925,252.0,2.9506697304742184,127.7,117.0,False,True,False,0
2684,6817,200,0.24423258354495303,1.7913824413233694,36.0,0.18805882410051655,6.912428442132978,0.3561295596722001,59.0,2.843609322115017,173.7,19.0,False,True,False,0
2685,1367,200,4.0,1.0,196.0,3.0,7.0,1.0520622682996121,722.0,3.615107770967441,131.7,51.0,False,True,False,0
2686,1000,200,6.0,109.0,568.0,6.0,1.0,5.0,3561.0,2.0,193.9,103.0,False,True,False,0
2687,2006,200,4.424279710429951,130.15770539526565,6.0,3.235882876816224,1.0,-1.078918377115151,14.0,1.0,71.0,1091.0,False,False,True,0
2688,4192,200,1.0,151.0,132.0,2.0,4.0,2.78760293839335,244.0,0.652872545555363,145.8,127.0,False,True,False,1
2689,1439,200,5.0,35.0,453.0,4.0,10.76110785365335,2.0,259.0,1.0,118.7,475.0,False,True,False,1
2690,2836,1558,2.0,1.0,190.0,7.0,7.0,1.0,218.0,4.495748116582234,129.1,155.0,False,True,False,0
2691,1387,371,-5.043288234720521,3.0,31.0,1.0,3.0,1.0775903499269954,52.0,0.1767723622770565,112.8,1320.0,False,True,False,0
2692,2479,200,4.0,4.0,12.0,0.45818958343676996,181.0,0.7060588890935695,23.0,-3.1271456240238438,119.4,1102.0,False,False,False,0
2693,2311,200,2.486176699602421,5.632326820988972,82.0,5.0,-3.476682905531362,0.8132551161603214,66.0,4.872402622561914,145.2,28.0,False,True,False,0
2694,1331,200,2.0,7.0,186.0,2.0,-7.031890808245571,0.9019141265708568,43.0,3.508626307104948,132.5,34.0,False,True,False,0
2695,1185,385,1.6695329501021927,9.0,5.0,1.4850136816170032,8.520384528405305,-0.16948972356398284,15.0,1.4950649380755237,44.3,685.0,True,False,False,0
2696,1448,200,1.0,1.0,84.0,1.0,1.0,1.0,2341.0,3.2744485572576423,152.5,43.0,False,True,False,0
2697,2508,200,1.0,6.0,59.0,1.0,3.0,1.2996301959864962,36.0,3.307505459728883,81.09,1084.0,False,False,False,0
2698,7848,200,2.287698378321746,5.0,5.0,-0.5139554918496518,0.2854000635907692,-0.560243659484482,26.0,1.9880993497485466,64.8,351.0,True,False,False,0
2699,1393,593,2.3560735298552604,2.0,17.0,1.467701933982232,83.4780179672926,1.0196033804094737,12.0,0.32692889147445126,96.5,1216.0,False,False,False,0
2700,3238,1038,2.826792818582053,3.0,25.0,1.184539067586118,6.0,1.1326920794010005,14.0,3.0289855762770106,95.1,1145.0,False,False,False,0
2701,2378,200,1.0,7.0,96.0,1.0,-8.871588153012638,0.874969971149044,717.0,3.2008182557113902,130.4,18.0,False,True,False,1
2702,3075,200,2.0,2.0,18.0,2.180009242614031,3.0,1.346631061936657,11.0,3.6128358353462344,92.8,1353.0,False,False,False,0
2703,1740,200,-3.112325486534381,69.0,20.0,4.0,47.0,1.7865364385198759,17.0,-1.30909489546422,71.8,1019.0,False,True,False,0
2704,3501,200,3.058592270019993,5.4225657873199395,127.0,1.0,-8.131714967973679,0.7849263921145484,376.0,3.195705272434033,130.9,18.0,False,True,False,0
2705,2363,200,4.144806527916672,2.0,7.0,-0.9760077587678913,66.77283666493815,0.7865868068837296,12.0,0.8739246730966537,105.1,807.0,False,False,False,0
2706,4012,200,1.0,5.316303308810209,54.0,0.5628622679354356,-10.961000670864742,0.5614514348848824,169.0,2.9259746223474523,123.0,14.0,False,True,False,0
2707,2322,1522,1.0,9.0,32.0,1.0,25.0,1.0,45.0,1.3212331920817828,140.4,193.0,False,True,False,1
2708,6880,200,1.549418444171593,11.0,6.0,0.7186045613269556,4.799257968406117,-0.3348886504259788,15.0,1.6538177011158788,47.3,560.0,True,False,False,0
2709,1642,200,1.6926833955154628,8.0,4.0,1.3099369232218363,8.068189127112188,-0.19583021761765984,2.0,1.586728665975989,44.8,662.0,True,False,False,0
2710,3529,200,1.0,1.0,66.0,8.0,17.0,1.0212189294031853,815.0,5.956095872827652,175.6,79.0,False,True,False,1
2711,3156,200,12.0,4.0,1261.0,13.0,3.0,3.0,5328.0,9.0,127.0,25.0,False,True,False,0
2712,2502,200,4.9534099387209825,5.0,19.0,1.0,52.579164317821906,-3.1502004258647203,20.0,-0.2850864708553673,57.9,1004.0,False,False,True,0
2713,2222,318,11.26776364592763,6.0,26.0,-2.9809323839608344,-5.094808090434565,-3.593358896430718,33.0,1.4269546406482392,36.3,17.0,False,False,True,0
2714,1354,554,10.0,8.0,66.0,2.0,1.0,1.4282092089785796,17.0,1.0,97.9,932.0,False,False,False,0
2715,1345,545,1.0,58.0,91.0,1.0,-8.622900174284247,0.46076254980616327,43.0,1.9789390761161796,60.4,251.0,True,False,False,0
2716,1715,200,-0.9564713732829802,188.0,36.0,1.0,6.833719419280094,2.2955390688841693,18.0,-1.6545538618262166,42.7,659.0,True,False,False,0
2717,1360,200,2.0,5.0,31.0,2.095949544241922,14.0,1.4079503844776549,10.0,3.2409845550951166,100.1,1327.0,False,False,False,0
2718,1191,391,1.8898723517201255,3.0,19.0,0.19318727172590044,-10.121582689364764,0.4623062657247484,30.0,2.736991802759439,130.1,3.0,False,True,False,0
2719,1713,550,3.0,1.0,68.0,0.6512140334812493,-10.685831173637503,0.5229252051726536,56.0,2.9085361444995756,127.4,13.0,False,True,False,0
2720,4266,944,2.0,2.0,121.0,3.0,11.744199530570775,0.6498542668494114,213.0,3.9257582414662258,196.3,13.0,False,True,False,0
2721,4014,200,-3.7070417061079795,2.0,74.0,1.0,41.0391982820552,0.9432658962720168,146.0,-1.0997882153292222,97.5,1194.0,False,True,False,0
2722,1350,550,0.7069707963327154,10.836662515895451,16.0,1.8320742460326827,3.0,1.4662201382587052,10.0,3.8384881854232615,140.4,1316.0,False,False,False,0
2723,1679,200,3.0,1.0,258.0,2.0,-14.699007855559657,1.0219609744712057,241.0,3.416511361624057,99.4,97.0,False,True,False,0
2724,5960,200,0.5383685899375408,2.0,71.0,0.41662962993420294,10.238497972495402,0.4499438005729429,67.0,2.9673437800626243,183.8,20.0,False,True,False,0
2725,4476,200,1.1702130497982957,4.492377807287209,29.0,0.5128442940666647,-4.22526919234069,0.5038879525983612,169.0,2.8120727916570623,137.9,47.0,False,True,False,0
2726,1401,200,3.693322300642979,55.0,159.0,1.0,88.0,1.3004498624262582,278.0,-2.1439778935119946,89.0,164.0,False,True,False,0
2727,3452,200,2.1718983587840324,5.22332313168441,76.0,0.6508203854984869,-6.344070757154384,0.6029855591603315,124.0,2.9926973274329045,136.8,14.0,False,True,False,0
2728,2036,356,-1.3322849742033362,167.0,2.0,1.3788835541609696,8.386585201850373,1.9493203706052284,9.0,-1.306140809761585,43.9,689.0,True,False,False,0
2729,3097,872,8.0,2.0,1288.0,9.0,1.0,4.0,1263.0,4.0,150.5,14.0,False,True,False,0
2730,3141,200,4.0,27.0,46.0,2.0,3.0,1.0,12.0,3.298429950416701,106.2,1119.0,False,False,False,1
2731,5531,200,391.0,84.0,10836.0,81.0,194.0,13.0,1392.0,6.0,132.9,243.0,False,True,False,0
2732,5809,375,1.0,1.0,23.0,0.26258698994801044,36.0,0.900152228761361,16.0,1.8611380271737445,79.3,1000.0,False,False,False,0
2733,3689,200,12.0,159.0,277.0,13.0,6.772925492100448,3.0,1111.0,1.0,175.8,60.0,False,True,False,0
2734,3460,375,2.0,21.5239346605182,122.0,1.836233364904162,-10.166152309390668,1.0,871.0,3.225160842138722,128.8,14.0,False,True,False,0
2735,1700,725,1.0,8.037328561213279,105.0,1.0,4.0,0.6693971685507516,123.0,2.243420333877721,127.8,60.0,False,True,False,0
2736,1182,200,1.0,202.0,52.0,1.0,1.0,2.5546555958056,5.0,-1.666228522740985,43.9,673.0,True,False,False,0
2737,1352,550,36.0,15.0,2596.0,38.0,47.0,5.0,1441.0,17.32014542618123,139.5,191.0,False,True,False,0
2738,1182,382,13.0,7.0,1626.0,18.0,9.0,2.0,1093.0,6.2527415309149825,57.5,1140.0,False,True,False,0
2739,1423,200,2.7520469313758067,2.0,11.0,2.5163468494037353,277.0,0.6681898818961928,9.0,-6.730559681221727,99.8,1479.0,False,False,False,0
2740,1976,375,2.2442720657344193,9.771660959252898,12.0,1.312606629619034,2.0,1.3481815403809314,5.0,3.352718198141303,98.0,1204.0,False,False,False,0
2741,3200,943,2.0,18.0,40.0,0.1263930262253563,2.0,1.2346285095805398,19.0,2.7557826858833256,89.1,936.0,False,False,False,0
2742,2034,200,-1.0342976466272464,169.0,18.0,1.2830625931784878,7.640403058081219,2.0041863519758945,4.0,-1.1995880406758852,45.3,657.0,True,False,False,0
2743,1740,940,4.1174825256735055,1.0,19.0,0.7875061010078284,39.0,0.9863446786387343,17.0,1.5127460911425796,75.0,1074.0,False,False,False,0
