unknown1,unknown2,unknown3,unknown4,unknown5,unknown6,unknown7,unknown8,unknown9,unknown10,unknown11,unknown12,unknown13,unknown14,unknown15,unknown16,unknown17,target
type2,5698,200,0,0,3,1,5,0,0,0,1,5,0,0,56.3,480,0
type3,5789,200,0,0,6,10,520,0,8,13,1,320,0,0,53.1,1449,0
type3,3124,200,0,0,1,1,83,0,1,1,1,74,0,0,133.2,126,0
type3,2456,550,0,0,3,10,124,0,4,0,1,4399,0,0,184.3,42,0
type3,6460,200,0,0,1,3,158,0,1,4,0,81,0,0,146.9,13,0
type1,4640,200,0,0,0,2,10,0,0,63,0,5,0,0,94.8,1171,0
type3,2603,200,0,0,2,0,145,0,1,0,0,160,0,0,127,16,0
type2,1736,200,0,0,0,7,3,0,0,0,0,8,0,0,44.6,633,0
type1,1368,568,0,0,0,6,34,0,0,3,0,23,0,0,94.2,1421,0
type3,1393,593,0,0,6,11,124,0,6,4,1,104,1,0,46.8,1216,0
type4,2089,200,0,0,0,260,10,0,0,1,0,18,0,0,68.3,1027,0
type3,3457,200,0,0,0,2,12,0,0,0,0,7,0,0,140.1,32,0
type2,6326,200,0,0,0,75,4,0,0,0,0,11,0,0,57.9,415,0
type1,1520,550,0,0,3,24,50,0,1,1,0,16,0,0,94.3,1259,0
type3,8132,200,0,0,11,60,667,0,9,1,4,1563,0,0,133.4,50,0
type3,1373,200,0,0,0,0,39,0,0,0,0,54,0,0,134.8,116,0
type3,2387,379,0,0,3,0,144,0,0,0,0,222,0,0,126.1,9,0
type3,4822,200,0,0,1,0,136,0,2,0,0,2061,0,0,150.8,17,0
type2,4152,204,0,0,0,5,5,0,0,0,0,12,0,0,71.6,235,0
type3,1879,200,0,0,0,2,105,0,2,1,0,85,0,0,142.4,26,0
type3,2061,550,0,0,1,83,79,0,2,0,2,89,0,0,137.8,62,0
type3,2406,200,0,0,3,6,119,0,1,3,1,3847,0,0,148.3,50,0
type3,2031,200,0,0,2,0,54,0,0,0,0,56,0,0,161.3,11,0
type3,1756,200,0,0,0,0,30,0,0,1,0,72,0,0,151.6,13,0
type3,1364,375,0,0,2,115,74,0,3,0,5,70,0,0,135.9,80,0
type3,2089,200,0,0,7,819,494,0,16,0,32,119,0,0,140.2,472,0
type1,6334,200,0,0,0,2,18,0,0,45,0,9,0,0,92.5,1164,0
type3,2091,200,0,0,1,66,33,0,0,14,2,47,0,0,122.5,108,0
type3,6182,200,0,0,2,7,98,0,1,4,1,65,0,0,138.9,82,0
type1,2347,461,0,0,1,2,18,0,0,199,0,9,0,0,114.6,1179,0
type1,2069,550,0,0,0,1,15,0,0,0,0,13,0,0,90.6,1170,0
type3,2092,200,0,0,1,0,59,0,0,0,0,568,0,0,138.7,9,0
type3,4493,200,0,0,3,1,366,0,2,0,0,524,1,0,136.1,12,0
type3,1970,632,0,0,6,319,266,0,5,0,11,231,0,0,115.7,200,0
type3,4154,200,0,0,6,2,529,0.2,6,0,4,1955,5,0,144.2,20,0
type1,1746,200,0,0,0,3,11,0,0,12,0,8,0,0,137.3,866,0
type3,2068,1268,0,0,8,2,1772,0.3,13,12,1,232,0,0,176.3,13,0
type3,2009,200,0,0,0,6,23,0,0,0,0,38,0,0,127.1,7,0
type3,1696,200,0,0,0,0,183,0,0,0,0,26,0,0,177.2,134,0
type2,4486,200,0,0,1,171,63,0,1,0,0,29,0,0,45.7,500,1
type3,2920,375,0,0,12,436,509,0,10,0,15,453,0,0,121.7,272,0
